119,Way of White Circlet,3730,33,0,0,-1,0,-1,15100,-1,0,0,105,0,-1,-1,-1,99,0,50,0,2,0,0,6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,305040,1,0,0,0,0,0,1,1,0,0,0,600,7,System.Byte[],-1,0,0,System.Byte[]
60,ID Monitoring Item 1 -- ID監視用アイテム1,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,99,0,System.Byte[],-1,0,0,System.Byte[]
61,ID Monitoring Item 2 -- ID監視用アイテム2,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,99,0,System.Byte[],-1,0,0,System.Byte[]
62,ID Monitoring Item 3 -- ID監視用アイテム3,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,99,0,System.Byte[],-1,0,0,System.Byte[]
63,ID Monitoring Item 4 -- ID監視用アイテム4,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,99,0,System.Byte[],-1,0,0,System.Byte[]
64,ID Monitoring Item 5 -- ID監視用アイテム5,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,99,0,System.Byte[],-1,0,0,System.Byte[]
65,ID Monitoring Item 6 -- ID監視用アイテム6,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,99,0,System.Byte[],-1,0,0,System.Byte[]
66,ID Monitoring Item 7 -- ID監視用アイテム7,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,99,0,System.Byte[],-1,0,0,System.Byte[]
67,ID Monitoring Item 8 -- ID監視用アイテム8,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,99,0,System.Byte[],-1,0,0,System.Byte[]
68,ID Monitoring Item 9 -- ID監視用アイテム9,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,99,0,System.Byte[],-1,0,0,System.Byte[]
69,ID Monitoring Item 10 -- ID監視用アイテム10,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,99,0,System.Byte[],-1,0,0,System.Byte[]
94,Dummy for PC animation reproduction when blood character is created -- 血文字作成時のPCアニメ再生用ダミー,-1,84,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,1,0,50,0,0,0,0,8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7,System.Byte[],-1,0,0,System.Byte[]
100,White Sign Soapstone,4,80,0,0,-1,0,-1,15010,-1,0,0,1,0,-1,-1,-1,1,0,50,0,2,0,0,8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,1,7,System.Byte[],500,0,0,System.Byte[]
101,Red Sign Soapstone,10,81,0,0,-1,0,-1,15020,-1,0,0,2,0,-1,-1,-1,1,0,50,0,2,0,0,8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,1,7,System.Byte[],-1,0,224,System.Byte[]
