109,,0.8,90,-1,0,0,1,System.Byte[]
0,Default -- デフォルト,1.5,90,-1,0,-1,-1,System.Byte[]
10,Test -- テスト,1.5,90,-1,0,0,0,System.Byte[]
100,For testing -- テスト用,1.5,90,-1,0,0,0,System.Byte[]
101,,1.5,90,-1,0,0,0,System.Byte[]
102,,1.5,90,-1,0,0,2,System.Byte[]
103,,1.5,90,-1,0,0,3,System.Byte[]
104,,1.5,90,-1,0,0,4,System.Byte[]
105,,1.5,90,-1,0,0,5,System.Byte[]
106,,1.5,90,-1,0,0,6,System.Byte[]
107,,1.5,90,-1,0,0,7,System.Byte[]
108,,0.8,90,-1,0,0,8,System.Byte[]
110000,,0.8,90,-1,0,0,0,System.Byte[]
121000,,0.8,90,-1,0,0,0,System.Byte[]
124000,,0.8,90,-1,0,0,0,System.Byte[]
128000,,0.8,90,-1,0,0,0,System.Byte[]
134000,,0.8,90,-1,0,0,0,System.Byte[]
135000,,0.8,90,-1,0,0,0,System.Byte[]
137000,,0.8,90,-1,0,0,0,System.Byte[]
139000,,0.8,90,-1,0,0,0,System.Byte[]
141000,,0.8,90,-1,0,0,0,System.Byte[]
144000,,0.8,90,-1,0,0,0,System.Byte[]
223000,,0.8,90,-1,0,0,0,System.Byte[]
317000,,0.8,90,-1,0,0,0,System.Byte[]
