108,Titanite - Lethal +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
0,Basic -- 基本,1250,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
1,Basic + 1 -- 基本＋１,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
2,Basic + 2 -- 基本＋２,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
3,Basic + 3 -- 基本＋３,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
4,Basic + 4 -- 基本＋４,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
5,Basic + 5 -- 基本＋５,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
6,Titanite - Stock +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
7,Titanite - Stock +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
8,Titanite - Stock +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
9,Titanite - Stock +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
10,Titanite - Stock +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
100,Titanite - Lethal +0,1110,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
101,Titanite - Lethal +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
102,Titanite - Lethal +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
103,Titanite - Lethal +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
104,Titanite - Lethal +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
105,Titanite - Lethal +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
106,Titanite - Lethal +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
107,Titanite - Lethal +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
109,Titanite - Lethal +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
110,Titanite - Lethal +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
200,Titanite - Curse +0,1100,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
201,Titanite - Curse +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
202,Titanite - Curse +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
203,Titanite - Curse +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
204,Titanite - Curse +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
205,Titanite - Curse +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
206,Titanite - Curse +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
207,Titanite - Curse +7,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
208,Titanite - Curse +8,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
209,Titanite - Curse +9,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
210,Titanite - Curse +10,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
300,Titanite - Poison +0,1120,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
301,Titanite - Poison +1,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
302,Titanite - Poison +2,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
303,Titanite - Poison +3,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
304,Titanite - Poison +4,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
305,Titanite - Poison +5,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
306,Titanite - Poison +6,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,System.Byte[]
